MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Boro-Block-Lot,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Neighborhood,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Building Classification,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Total Units,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Year Built,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Gross Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross Income per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Expense,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Expense per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Net Operating Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Full Market Value,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Coop in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Coop in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Coop in miles
1-00608-0021,"136 13 STREET
New York, NY
(40.606896672346, -74.009351088944)",1,,,,,,,,,,GREENWICH VILLAGE-WEST,C6-WALK-UP,12,1880,5732,214262,37.38,67810,11.83,146452,1077000,187.89,1-00606-0041,"138 11 STREET
New York, NY
(40.670474138067, -73.992528058478)",GREENWICH VILLAGE-WEST,C4-WALK-UP,20,1855,9941,154300,15.52,50322,5.06,103978,712000,71.62,0.1,1-00575-0074,"49 11 STREET
New York, NY
(40.67108275104, -73.993653827091)",GREENWICH VILLAGE-CENTRAL,C1-WALK-UP,26,1900,6960,260178,37.38,82331,11.83,177847,1308000,187.93,0.19,1-00765-0051,212 WEST 16 STREET,CHELSEA,C4-WALK-UP,23,1890,"5,005","221,434",44.24,"75,419",15.07,"146,015","1,099,000",219.58,0.23
1-01225-0055,"160 95 STREET
New York, NY
(40.617125935884, -74.036548439928)",1,,,,,,,,,,UPPER WEST SIDE (79-96),D4-ELEVATOR,37,1914,61800,1309542,21.19,485130,7.85,824412,6049000,97.88,1-01240-0036,"676 AMSTERDAM AVENUE
New York, NY
(40.791954756365, -73.971905365313)",UPPER WEST SIDE (79-96),D7-ELEVATOR,81,1934,68840,1734080,25.19,745537,10.83,988543,7176000,104.24,0.16,1-01226-0040,"110 96 STREET
New York, NY
(40.616281182707, -74.036697857332)",UPPER WEST SIDE (79-96),D3-ELEVATOR,60,1926,81030,1717326,21.19,635687,7.85,1081639,7936000,97.94,0.05,1-01851-0005,143 WEST 96 STREET,UPPER WEST SIDE (96-116),D3-ELEVATOR,92,1927,"96,000","1,939,200",20.2,"872,640",9.09,"1,066,560","7,623,000",79.41,0.11
1-00387-0141,"73 AVENUE
New York, NY
(40.756053999992, -73.986951000288)",1,,,,,,,,,,ALPHABET CITY,C6-WALK-UP,18,1920,16747,289053,17.26,147876,8.83,141177,1019000,60.85,1-00415-0012,"176 ELDRIDGE STREET
New York, NY
(40.720413688934, -73.990809114369)",LOWER EAST SIDE,C7-WALK-UP,60,1920,32786,623024,19,304535,9.29,318489,1065000,32.48,0.51,1-00733-0001,"463 35 STREET
New York, NY
(40.754969979974, -73.997920601022)",JAVITS CENTER,C7-WALK-UP,15,1930,13220,210019,15.89,104209,7.88,105810,560000,42.36,2.29,, , , , , , , , , , , , , , 
1-02176-0044,"706 180 STREET
New York, NY
(40.849545387176, -73.936591155836)",1,,,,,,,,,,WASHINGTON HEIGHTS UPPER,C6-WALK-UP,21,1924,18340,260245,14.19,135899,7.41,124346,862000,47,1-02176-0039,"720 180 STREET
New York, NY
(40.849610451128, -73.936896673523)",WASHINGTON HEIGHTS UPPER,C1-WALK-UP,22,1909,20500,337681,16.47,161130,7.86,176551,1278000,62.34,0,1-02176-0001,"723 177 STREET
New York, NY
(40.847655731444, -73.938390098649)",WASHINGTON HEIGHTS UPPER,C1-WALK-UP,19,1925,18820,223880,11.9,130892,6.95,92988,590000,31.35,0.1,, , , , , , , , , , , , , , 
1-01009-0029,"1381 AVENUE
New York, NY
(40.756053999992, -73.986951000288)",1,,,,,,,,,,MIDTOWN WEST,D4-ELEVATOR,328,1962,418114,12710666,30.4,4047344,9.68,8663322,64792000,154.96,1-01030-0058,"240 CENTRAL PARK
New York, NY
(40.767293510231, -73.980123032667)",MIDTOWN WEST,D6-ELEVATOR,340,1940,387428,14066581,36.31,5333606,13.77,8732975,64383000,166.18,0.18,1-01011-0013,"145 58 STREET
New York, NY
(40.645329087155, -74.022808368317)",MIDTOWN WEST,D7-ELEVATOR,114,1928,122813,3556581,28.96,1191724,9.7,2364857,17752000,144.54,0.1,1-01024-0001,870 8 AVENUE,MIDTOWN WEST,D6-ELEVATOR,387,1965,"380,441","11,566,789",30.4,"3,684,094",9.68,"7,882,695","58,954,000",154.96,0.28
1-01453-0043,"308 79 STREET
New York, NY
(40.628482844002, -74.028795410888)",1,,,,,,,,,,UPPER EAST SIDE (59-79),D4-ELEVATOR,195,1928,196400,6610824,33.66,2445180,12.45,4165644,30928000,157.47,1-01426-9035,"218 72 STREET
New York, NY
(40.634016601929, -74.029154253186)",UPPER EAST SIDE (59-79),D3-ELEVATOR,147,1975,156200,7342962,47.01,2424224,15.52,4918738,17490000,111.97,0.39,1-01490-0122,"555 78 STREET
New York, NY
(40.626474707903, -74.022244986526)",UPPER EAST SIDE (59-79),D3-ELEVATOR,87,1940,75854,2626762,34.63,919472,12.12,1707290,12641000,166.65,0.29,1-01488-0013,519 EAST 76 STREET,UPPER EAST SIDE (59-79),D3-ELEVATOR,210,1964,"257,244","12,220,522",47.51,"3,985,891",15.49,"8,234,631","61,854,000",240.45,0.31
1-01604-0001,"1170 5 AVENUE
New York, NY
(40.789319742819, -73.954719321333)",1,10029,40.789156,-73.954433,11,8,168,1051482,1016040001,East Harlem South                                                          ,UPPER EAST SIDE (96-110),D4-ELEVATOR,60,1926,153064,4189362,27.37,1250533,8.17,2938829,21194000,138.46,1-01602-0066,"6 97 STREET
New York, NY
(40.61520993316, -74.037532110536)",UPPER EAST SIDE (96-110),D1-ELEVATOR,24,1930,14952,409857,27.41,129092,8.63,280765,2025000,135.43,0.15,1-01602-0050,"1391 MADISON AVENUE
New York, NY
(40.787673983506, -73.953846978964)",UPPER EAST SIDE (96-110),D7-ELEVATOR,48,1920,44184,1206931,27.32,340829,7.71,866102,6247000,141.39,0.17,, , , , , , , , , , , , , , 
1-01349-0009,"315 56 STREET
New York, NY
(40.644074695896, -74.017590490483)",1,,,,,,,,,,MIDTOWN EAST,D4-ELEVATOR,55,1950,45000,1219050,27.09,392850,8.73,826200,5533000,122.96,1-01350-0035,"330 58 STREET
New York, NY
(40.642734310183, -74.018530699764)",MIDTOWN EAST,D1-ELEVATOR,34,1939,30225,756230,25.02,325221,10.76,431009,3130000,103.56,0.06,1-01350-0033,"340 58 STREET
New York, NY
(40.642633517775, -74.01835711284)",MIDTOWN EAST,D1-ELEVATOR,38,1917,24257,657115,27.09,211650,8.73,445465,3215000,132.54,0.06,1-01369-0037,422 EAST 58 STREET,MIDTOWN EAST,D9-ELEVATOR,24,1939,"18,654","600,692",32.2,"227,930",12.22,"372,762","2,776,000",148.82,0.15
1-01245-0059,"323 83 STREET
New York, NY
(40.625563458927, -74.029504557595)",1,,,,,,,,,,UPPER WEST SIDE (79-96),D4-ELEVATOR,24,1920,23676,688735,29.09,263987,11.15,424748,3188000,134.65,1-01246-0044,"328 85 STREET
New York, NY
(40.624119506034, -74.029913552558)",UPPER WEST SIDE (79-96),D2-ELEVATOR,48,1920,24544,911659,37.14,228211,9.3,683448,5029000,204.9,0.05,1-01246-0057,"127 RIVERSIDE DRIVE
New York, NY
(40.789085919092, -73.980943551707)",UPPER WEST SIDE (79-96),D1-ELEVATOR,23,1910,17325,423781,24.46,161906,9.35,261875,1904000,109.9,0.05,1-01246-0053,350 WEST 85 STREET,UPPER WEST SIDE (79-96),D2-ELEVATOR,54,1908,"35,094","1,020,760",29.09,"391,196",11.15,"629,564","4,725,000",134.64,0.05
1-01143-0007,"167 71 STREET
New York, NY
(40.635125698579, -74.030472060382)",1,,,,,,,,,,UPPER WEST SIDE (59-79),D4-ELEVATOR,21,1920,11224,321231,28.62,75874,6.76,245357,1843000,164.2,1-01143-0020,"133 71 STREET
New York, NY
(40.635378987735, -74.031516142339)",UPPER WEST SIDE (59-79),D3-ELEVATOR,36,1928,30712,887166,28.89,244770,7.97,642396,4823000,157.04,0,1-01143-0027,"113 71 STREET
New York, NY
(40.635541800994, -74.032209712038)",UPPER WEST SIDE (59-79),D3-ELEVATOR,38,1913,36364,1030791,28.35,201995,5.55,828796,5961000,163.93,0,, , , , , , , , , , , , , , 
1-01204-0016,"35 90 STREET
New York, NY
(40.788309578967, -73.968463022354)",1,,,,,,,,,,UPPER WEST SIDE (79-96),D4-ELEVATOR,100,1931,109451,3101841,28.34,979586,8.95,2122255,15265000,139.47,1-01203-0033,"295 CENTRAL PARK
New York, NY
(40.767852935294, -73.981336598051)",UPPER WEST SIDE (79-96),D3-ELEVATOR,136,1941,145476,4333969,29.79,1571254,10.8,2762715,20704000,142.32,0.05,1-01199-0045,"20 86 STREET
New York, NY
(40.625516193163, -74.039826375335)",UPPER WEST SIDE (79-96),D3-ELEVATOR,64,1929,103112,2916742,28.29,1122030,10.88,1794712,12911000,125.21,0.26,1-01216-0060,168 WEST 86 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,50,1923,"100,042","2,835,051",28.34,"895,398",8.95,"1,939,653","13,951,000",139.45,0.31
1-01882-0058,"536 111 STREET
New York, NY
(40.804037038795, -73.964431874096)",1,,,,,,,,,,UPPER WEST SIDE (96-116),D4-ELEVATOR,40,1910,47020,923473,19.64,298107,6.34,625366,4481000,95.3,1-01882-0047,"526 111 STREET
New York, NY
(40.803926357455, -73.964167468672)",UPPER WEST SIDE (96-116),D1-ELEVATOR,44,1925,43145,804611,18.65,247886,5.75,556725,4002000,92.76,0,1-01880-0029,"976 AMSTERDAM AVENUE
New York, NY
(40.80192823767, -73.964620856875)",UPPER WEST SIDE (96-116),D7-ELEVATOR,50,1915,51080,1053270,20.62,484238,9.48,569032,4181000,81.85,0.1,, , , , , , , , , , , , , , 
1-01247-0047,"328 86 STREET
New York, NY
(40.623299468142, -74.030467259311)",1,,,,,,,,,,UPPER WEST SIDE (79-96),D4-ELEVATOR,46,1924,52194,1438467,27.56,553256,10.6,885211,6381000,122.26,1-01247-0010,"355 85 STREET
New York, NY
(40.624010201093, -74.029215846118)",UPPER WEST SIDE (79-96),D3-ELEVATOR,73,1910,40937,1197753,29.26,491750,12.01,706003,5296000,129.37,0,1-01247-0013,"349 85 STREET
New York, NY
(40.624047492389, -74.029371848042)",UPPER WEST SIDE (79-96),D2-ELEVATOR,36,1920,24192,560459,23.17,193147,7.98,367312,2681000,110.82,0,1-01248-0051,340 WEST 87 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,29,1925,"29,303","807,498",27.56,"310,674",10.6,"496,824","3,581,000",122.21,0.06
1-01065-0023,"415 55 STREET
New York, NY
(40.643435201047, -74.015028940013)",1,,,,,,,,,,CLINTON,D0-ELEVATOR,22,1911,31468,845860,26.88,330414,10.5,515446,3725000,118.37,1-01066-0053,"442 57 STREET
New York, NY
(40.64192178874, -74.015658477197)",CLINTON,D3-ELEVATOR,118,1960,103612,2481746,23.95,766636,7.4,1715110,12487000,120.52,0.05,1-01086-0034,"885 10 AVENUE
New York, NY
(40.769615597157, -73.988228060144)",CLINTON,D7-ELEVATOR,40,1945,37000,1028970,27.81,411810,11.13,617160,4445000,120.14,0.2,, , , , , , , , , , , , , , 
1-01718-0035,"1486 5 AVENUE
New York, NY
(40.80284554614, -73.944862751892)",1,10035,40.802854,-73.944881,10,9,200,1053260,1017180035,Central Harlem South                                                       ,HARLEM-CENTRAL,C6-WALK-UP,12,1909,10005,141671,14.16,96948,9.69,44723,310000,30.98,1-01902-0062,"1949 ADAM
New York, NY
(40.756053999992, -73.986951000288)",HARLEM-CENTRAL,C4-WALK-UP,18,1920,15145,341217,22.53,153570,10.14,187647,1372000,90.59,0.21,1-01902-0061,"1951 ADAM
New York, NY
(40.756053999992, -73.986951000288)",HARLEM-CENTRAL,C7-WALK-UP,19,1920,19000,417050,21.95,191900,10.1,225150,1649000,86.79,0.21,1-01927-0021,219 WEST 121 STREET,HARLEM-CENTRAL,C4-WALK-UP,10,1910,"10,030","141,986",14.16,"97,207",9.69,"44,779","1,242,000",123.83,0.37
1-01842-0024,"15 106 STREET
New York, NY
(40.798259349003, -73.960457810737)",1,,,,,,,,,,MANHATTAN VALLEY,C6-WALK-UP,11,1920,8800,123024,13.98,60720,6.9,62304,410000,46.59,1-01845-0005,"63 109 STREET
New York, NY
(40.800760437115, -73.960412937654)",MANHATTAN VALLEY,C4-WALK-UP,13,1900,16900,295581,17.49,147875,8.75,147706,1066000,63.08,0.17,1-01838-0045,"60 MANHATTAN AVENUE
New York, NY
(40.796532305494, -73.963020063663)",MANHATTAN VALLEY,C4-WALK-UP,20,1940,12840,142640,11.11,80443,6.27,62197,338000,26.32,0.21,1-01847-0061,302 WEST 114 STREET,MANHATTAN VALLEY,C4-WALK-UP,20,1900,"8,915","124,619",13.98,"77,445",8.69,"47,174","298,000",33.43,0.35
1-01064-0001,"812 10 AVENUE
New York, NY
(40.767286353102, -73.989900799119)",1,10019,40.767278,-73.989885,4,3,139,1026779,1010640001,Clinton                                                                    ,CLINTON,C6-WALK-UP,24,1920,13574,370027,27.26,229129,16.88,140898,1013000,74.63,1-01058-0041,"416 49 STREET
New York, NY
(40.646730517294, -74.011548846057)",CLINTON,C4-WALK-UP,15,1901,9875,269193,27.26,107638,10.9,161555,1165000,117.97,0.29,1-01058-0016,"425 48 STREET
New York, NY
(40.647239450387, -74.010758563808)",CLINTON,C4-WALK-UP,39,1901,35404,1298537,36.68,383682,10.84,914855,4020000,113.55,0.29,1-01036-0036,727 8 AVENUE,MIDTOWN WEST,D6-ELEVATOR,87,1890,"29,670","784,200",26.43,"333,293",11.23,"450,907","2,002,000",67.48,0.47
