MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Boro-Block-Lot,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Neighborhood,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Building Classification,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Total Units,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Year Built,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Gross Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross Income per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Expense,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Expense per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Net Operating Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Full Market Value,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Coop in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Coop in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Coop in miles
1-01408-0041,"168 74 STREET
New York, NY
(40.632963565447, -74.031049685533)",1,,,,,,,,,,UPPER EAST SIDE (59-79),D4-ELEVATOR,31,"1,926","61,051","2,003,694",32.82,"744,822",12.2,"1,258,872","9,362,000",153.35,1-01409-0042,"192 75 STREET
New York, NY
(40.632130015803, -74.030723663133)",UPPER EAST SIDE (59-79),D6-ELEVATOR,43,"1,927","40,249","1,408,542",35,"315,371",7.84,"1,093,171","8,088,000",200.95,0.05,1-01429-0041,"210 75 STREET
New York, NY
(40.631993703743, -74.030150403889)",UPPER EAST SIDE (59-79),D1-ELEVATOR,42,"1,932","25,758","814,012",31.6,"247,013",9.59,"566,999","4,230,000",164.22,0.13,1-01429-0037,222 EAST 75 STREET,UPPER EAST SIDE (59-79),D3-ELEVATOR,41,1930,"23,490","762,540",32.46,"238,055",10.13,"524,485","3,903,000",166.16,0.13
1-01167-0001,"320 END AVENUE
New York, NY
(40.756053999992, -73.986951000288)",1,,,,,,,,,,UPPER WEST SIDE (59-79),D4-ELEVATOR,34,"1,924","77,008","2,099,238",27.26,"391,201",5.08,"1,708,037","12,322,000",160.01,1-01169-0008,"2181 BROADWAY
New York, NY
(40.782754692005, -73.980799660182)",UPPER WEST SIDE (59-79),D6-ELEVATOR,115,"1,924","114,767","3,505,905",30.55,"1,339,684",11.67,"2,166,221","16,196,000",141.12,0.1,1-01165-0056,"244 74 STREET
New York, NY
(40.63248232096, -74.028992922633)",UPPER WEST SIDE (59-79),D6-ELEVATOR,39,"1,922","40,050","1,045,795",26.11,"372,662",9.3,"673,133","4,873,000",121.67,0.1,1-01163-0053,244 WEST 72 STREET,UPPER WEST SIDE (59-79),D6-ELEVATOR,92,1928,"87,150","2,375,709",27.26,"949,935",10.9,"1,425,774","10,285,000",118.01,0.21
1-00595-0041,"474 GREENWICH STREET
New York, NY
(40.724424665185, -74.009380114274)",1,10013,40.724331,-74.009391,1,1,39,"1,010,334","1,005,950,041",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,C6-WALK-UP,12,"1,900","25,159","762,318",30.3,"237,753",9.45,"524,565","3,927,000",156.09,1-00597-0052,"98 CHARLTON STREET
New York, NY
(40.727365448221, -74.007842273603)",SOHO,C4-WALK-UP,26,"1,901","11,388","350,828",30.81,"109,082",9.58,"241,746","1,807,000",158.68,0.19,1-00505-0026,"169 AVENUE
New York, NY
(40.756053999992, -73.986951000288)",SOHO,C4-WALK-UP,24,"1,910","13,500","401,969",29.78,"125,821",9.32,"276,148","2,069,000",153.26,0.28,, , , , , , , , , , , , , , 
1-01408-0022,"153 73 STREET
New York, NY
(40.633768547166, -74.031038111981)",1,,,,,,,,,,UPPER EAST SIDE (59-79),D4-ELEVATOR,36,"1,923","39,581","1,330,713",33.62,"355,437",8.98,"975,276","7,241,000",182.94,1-01409-0042,"192 75 STREET
New York, NY
(40.632130015803, -74.030723663133)",UPPER EAST SIDE (59-79),D6-ELEVATOR,43,"1,927","40,249","1,408,542",35,"315,371",7.84,"1,093,171","8,088,000",200.95,0.05,1-01429-0037,"222 75 STREET
New York, NY
(40.63192020894, -74.029840897603)",UPPER EAST SIDE (59-79),D3-ELEVATOR,41,"1,930","23,490","762,540",32.46,"238,055",10.13,"524,485","3,903,000",166.16,0.13,, , , , , , , , , , , , , , 
1-01369-0029,"446 58 STREET
New York, NY
(40.64131330532, -74.016141847295)",1,,,,,,,,,,MIDTOWN EAST,D4-ELEVATOR,26,"1,920","18,939","572,905",30.25,"200,753",10.6,"372,152","2,786,000",147.1,1-01369-0037,"422 58 STREET
New York, NY
(40.641612682503, -74.016654034764)",MIDTOWN EAST,D9-ELEVATOR,24,"1,939","18,654","600,692",32.2,"227,930",12.22,"372,762","2,776,000",148.82,0,1-01350-0033,"340 58 STREET
New York, NY
(40.642633517775, -74.01835711284)",MIDTOWN EAST,D1-ELEVATOR,38,"1,917","24,257","657,115",27.09,"211,650",8.73,"445,465","3,215,000",132.54,0.14,, , , , , , , , , , , , , , 
1-00793-0067,"154 18 STREET
New York, NY
(40.664647614253, -73.994400176362)",1,,,,,,,,,,CHELSEA,D0-ELEVATOR,32,"1,906","77,530","2,432,891",31.38,"794,683",10.25,"1,638,208","12,228,000",157.72,1-00793-0001,"119 7 AVENUE
New York, NY
(40.740747360017, -73.998084629586)",CHELSEA,D7-ELEVATOR,59,"1,950","53,123","1,235,522",23.26,"380,466",7.16,"855,056","6,239,000",117.44,0,1-00791-0078,"91 7 AVENUE
New York, NY
(40.739695153243, -73.99884905331)",CHELSEA,D9-ELEVATOR,69,"1,920","62,400","2,420,692",38.79,"658,186",10.55,"1,762,506","13,333,000",213.67,0.09,, , , , , , , , , , , , , , 
1-01361-0012,"2 MITCHELL PLACE
New York, NY
(40.752929493609, -73.966618111187)",1,10017,40.753276,-73.966332,6,4,"8,603","1,040,076","1,013,610,001",Turtle Bay-East Midtown                                                    ,MIDTOWN EAST,D4-ELEVATOR,98,"1,931","125,000","3,990,000",31.92,"1,842,500",14.74,"2,147,500","16,012,000",128.1,1-01362-0012,"20 BEEKMAN PLACE
New York, NY
(40.753490753172, -73.964674816197)",MIDTOWN EAST,D3-ELEVATOR,78,"1,957","98,808","2,417,575",24.47,"770,471",7.8,"1,647,104","11,977,000",121.21,0.05,1-01343-0049,"956 2 AVENUE
New York, NY
(40.75528040401, -73.968227138213)",MIDTOWN EAST,D6-ELEVATOR,121,"1,959","115,860","3,793,214",32.74,"1,084,425",9.36,"2,708,789","20,149,000",173.91,0.12,1-01343-0036,340 EAST 51 STREET,MIDTOWN EAST,D9-ELEVATOR,116,1965,"88,658","3,436,384",38.76,"1,168,512",13.18,"2,267,872","17,156,000",193.51,0.12
1-01589-0019,"25 END AVENUE
New York, NY
(40.563614355528, -74.178737271506)",1,,,,,,,,,,UPPER EAST SIDE (79-96),D4-ELEVATOR,39,"1,928","89,264","2,931,430",32.84,"908,708",10.18,"2,022,722","15,042,000",168.51,1-01490-0122,"555 78 STREET
New York, NY
(40.626474707903, -74.022244986526)",UPPER EAST SIDE (59-79),D3-ELEVATOR,87,"1,940","75,854","2,626,762",34.63,"919,472",12.12,"1,707,290","12,641,000",166.65,0.13,1-01559-0033,"420 80 STREET
New York, NY
(40.626892037352, -74.026013480751)",UPPER EAST SIDE (79-96),D6-ELEVATOR,157,"1,961","137,238","4,261,263",31.05,"1,579,404",11.51,"2,681,859","20,032,000",145.97,0.23,, , , , , , , , , , , , , , 
1-01246-0039,"310 85 STREET
New York, NY
(40.624231379941, -74.030381558405)",1,,,,,,,,,,UPPER WEST SIDE (79-96),D4-ELEVATOR,36,"1,923","48,184","1,047,038",21.73,"362,344",7.52,"684,694","5,018,000",104.14,1-01247-0013,"349 85 STREET
New York, NY
(40.624047492389, -74.029371848042)",UPPER WEST SIDE (79-96),D2-ELEVATOR,36,"1,920","24,192","560,459",23.17,"193,147",7.98,"367,312","2,681,000",110.82,0.05,1-01248-0037,"302 87 STREET
New York, NY
(40.622681683255, -74.031242408026)",UPPER WEST SIDE (79-96),D9-ELEVATOR,54,"1,914","47,067","1,022,992",21.73,"353,985",7.52,"669,007","4,903,000",104.17,0.1,1-01231-0064,498 WEST END AVENUE,UPPER WEST SIDE (79-96),D3-ELEVATOR,48,1912,"82,648","1,662,051",20.11,"747,964",9.05,"914,087","6,535,000",79.07,0.12
1-01055-0048,"426 46 STREET
New York, NY
(40.648277483169, -74.009585954994)",1,,,,,,,,,,CLINTON,C6-WALK-UP,20,"1,910","8,175","235,849",28.85,"69,978",8.56,"165,871","1,245,000",152.29,1-01055-0026,"411 45 STREET
New York, NY
(40.64908623177, -74.009303924148)",CLINTON,C1-WALK-UP,16,"1,910","9,566","348,039",36.38,"88,336",9.23,"259,703","1,914,000",200.08,0,1-01055-0031,"649 9 AVENUE
New York, NY
(40.760622376864, -73.991033944876)",CLINTON,C4-WALK-UP,22,"1,910","12,705","387,923",30.53,"93,523",7.36,"294,400","2,201,000",173.24,0,, , , , , , , , , , , , , , 
1-01120-0057,"60 68 STREET
New York, NY
(40.638919750003, -74.033050236986)",1,,,,,,,,,,UPPER WEST SIDE (59-79),D4-ELEVATOR,73,"1,920","61,908","2,558,039",41.32,"680,369",10.99,"1,877,670","14,178,000",229.02,1-01122-0022,"19 69 STREET
New York, NY
(40.638604692583, -74.035194134799)",UPPER WEST SIDE (59-79),D3-ELEVATOR,83,"1,916","42,642","1,996,804",46.83,"626,991",14.7,"1,369,813","10,295,000",241.43,0.1,1-01117-0055,"56 65 STREET
New York, NY
(40.640465655095, -74.025510173689)",UPPER WEST SIDE (59-79),D1-ELEVATOR,53,"1,937","33,312","1,193,025",35.81,"242,492",7.28,"950,533","7,021,000",210.76,0.14,, , , , , , , , , , , , , , 
1-02001-0060,"575 RIVERSIDE DRIVE
New York, NY
(40.820984871471, -73.957911914537)",1,10031,40.821095,-73.957681,9,7,"22,302","1,059,945","1,020,010,060",Manhattanville                                                             ,HARLEM-WEST,D4-ELEVATOR,42,"1,926","50,388","539,152",10.7,"240,351",4.77,"298,801","1,852,000",36.75,1-02086-0011,"600 RIVERSIDE DRIVE
New York, NY
(40.822414793498, -73.955951392513)",HARLEM-UPPER,D1-ELEVATOR,38,"1,920","51,876","643,781",12.41,"341,344",6.58,"302,437","764,000",14.73,0.18,1-02002-0069,"590 RIVERSIDE DRIVE
New York, NY
(40.8218841935, -73.956508972171)",HARLEM-WEST,D1-ELEVATOR,36,"1,905","61,812","554,928",8.98,"267,174",4.32,"287,754","1,540,000",24.91,0.13,, , , , , , , , , , , , , , 
1-01062-0026,"411 52 STREET
New York, NY
(40.64516637667, -74.013386941768)",1,,,,,,,,,,CLINTON,C6-WALK-UP,20,"1,901","7,500","222,525",29.67,"65,550",8.74,"156,975","1,177,000",156.93,1-01061-0050,"434 52 STREET
New York, NY
(40.644818976268, -74.012922357393)",CLINTON,C4-WALK-UP,14,"1,901","9,280","289,235",31.17,"91,523",9.86,"197,712","1,476,000",159.05,0.05,1-01061-0051,"436 52 STREET
New York, NY
(40.644793615375, -74.012879916715)",CLINTON,C1-WALK-UP,13,"1,910","9,280","264,548",28.51,"86,642",9.34,"177,906","1,337,000",144.07,0.05,, , , , , , , , , , , , , , 
1-00521-0030,"308 MOTT STREET
New York, NY
(40.725171102469, -73.993965734691)",1,10012,40.72516,-73.993964,2,1,"5,502","1,008,184","1,005,210,030",West Village                                                               ,GREENWICH VILLAGE-CENTRAL,C6-WALK-UP,40,"1,900","17,626","651,281",36.95,"215,566",12.23,"435,715","3,207,000",181.95,1-00521-0026,"302 MOTT STREET
New York, NY
(40.724928285521, -73.994082646555)",GREENWICH VILLAGE-CENTRAL,C1-WALK-UP,48,"1,905","20,227","713,719",35.29,"209,434",10.35,"504,285","3,729,000",184.36,0,1-00509-0027,"285 MOTT STREET
New York, NY
(40.724244800779, -73.994379422825)",LITTLE ITALY,C7-WALK-UP,58,"1,900","28,542","1,102,096",38.61,"402,723",14.11,"699,373","5,291,000",185.38,0.11,, , , , , , , , , , , , , , 
